帧,流量,密度,速度平均值,TPI,>10替换,差分
7856,31,13,6.385569137331776,8.47003929362768,8.47003929362768,-1.5299607063723197
7857,29,13,4.534085164577133,12.72608416711749,10.0,1.2980231862052012
7858,30,15,6.384245412776345,8.701976813794799,8.701976813794799,1.4301608168089661
7859,27,13,8.437785653101086,7.271815996985833,7.271815996985833,-2.7281840030141673
7860,27,13,5.830919946987597,10.480526514976884,10.0,0.40274073845340475
7861,25,13,6.876963328941488,9.597259261546595,9.597259261546595,-0.40274073845340475
7862,26,12,5.49409641876403,11.574195052814334,10.0,0.8034080532173853
7863,28,14,6.446487419337456,9.196591946782615,9.196591946782615,2.386135739426563
7864,28,15,8.740062003411339,6.810456207356052,6.810456207356052,-0.0735457568770368
7865,30,16,8.070241095833957,6.8840019642330885,6.8840019642330885,-1.1430915295145576
7866,28,17,7.41536268017471,8.027093493747646,8.027093493747646,0.39268684228287043
7867,31,18,7.00000178858698,7.634406651464776,7.634406651464776,0.8086817702654612
7868,31,17,7.782071573995131,6.8257248811993145,6.8257248811993145,-1.0351735818435674
7869,32,18,6.493108504916231,7.860898463042882,7.860898463042882,-2.139101536957118
7870,31,15,4.069361036264311,12.868258906297797,10.0,1.84006190180361
7871,32,16,6.191325562200046,8.15993809819639,8.15993809819639,-1.84006190180361
7872,32,12,4.459473238023183,11.305520624452857,10.0,0.0
7873,34,12,3.05594793162715,15.463254943490899,10.0,1.6717461955227488
7874,34,12,5.638731169369439,8.328253804477251,8.328253804477251,2.5795919069602142
7875,34,15,8.066668356272105,5.748661897517037,5.748661897517037,-1.4014968108426569
7876,34,13,6.40325838809157,7.150158708359694,7.150158708359694,-0.23237115463947333
7877,34,13,6.135311131495783,7.382529862999167,7.382529862999167,-1.6039846940508724
7878,33,11,5.15924567520602,8.98651455705004,8.98651455705004,0.910942631417802
7879,33,11,5.691187742841851,8.075571925632238,8.075571925632238,1.4112954832468505
7880,34,14,6.6200205589059,6.664276442385387,6.664276442385387,-0.46928311106824694
7881,32,12,6.498041590502291,7.133559553453634,7.133559553453634,-2.866440446546366
7882,32,10,4.417112407202465,10.376311288478488,10.0,2.825367171453806
7883,32,11,6.315654205984187,7.174632828546194,7.174632828546194,0.7951211186063718
7884,31,12,7.230809246135806,6.379511709939822,6.379511709939822,-0.3960359048113222
